Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,46.419998,47.209999,46.259998,47.209999,44.145901,13486800
2019-10-22,47.279999,47.540001,47.099998,47.299999,44.230061,15194800
2019-10-23,47.599998,47.830002,47.029999,47.110001,44.052391,12362800
2019-10-24,47.459999,47.570000,46.520000,46.750000,43.715755,14646600
2019-10-25,47.750000,48.560001,47.549999,48.560001,45.408283,21754000
2019-10-28,48.650002,48.799999,48.340000,48.700001,45.539200,10932200
2019-10-29,48.410000,48.799999,48.080002,48.650002,45.492443,10091200
2019-10-30,48.400002,48.619999,47.689999,48.590000,45.436337,15325200
2019-10-31,48.099998,48.480000,46.860001,47.200001,44.136551,21765000
2019-11-01,47.799999,48.700001,47.759998,48.439999,45.296070,20151300
2019-11-04,49.080002,49.820000,49.080002,49.820000,46.586506,20980000
2019-11-05,50.070000,50.279999,49.430000,49.869999,46.633259,15951200
2019-11-06,49.900002,49.970001,48.900002,49.689999,46.464939,14879300
2019-11-07,49.840000,50.529999,49.540001,50.110001,46.857681,26788900
2019-11-08,49.330002,49.549999,48.810001,49.180000,45.988041,19854000
2019-11-11,48.439999,48.439999,47.959999,48.130001,45.006191,20385800
2019-11-12,48.299999,48.490002,47.900002,47.900002,44.791119,13130500
2019-11-13,47.650002,48.060001,46.970001,47.119999,44.061741,16882100
2019-11-14,47.349998,47.580002,46.959999,47.000000,43.949535,14155900
2019-11-18,47.720001,48.049999,47.480000,47.610001,44.519943,16777800
2019-11-19,48.110001,48.490002,47.720001,48.169998,45.043594,13108100
2019-11-21,47.759998,48.419998,47.700001,48.419998,45.277367,15624200
2019-11-22,48.549999,50.029999,48.549999,50.029999,46.782871,27680500
2019-11-25,50.540001,51.180000,50.430000,50.860001,47.559006,24507100
2019-11-26,50.599998,51.500000,50.459999,51.220001,47.895641,32446500
2019-11-27,50.930000,51.200001,50.130001,50.580002,47.297180,13507600
2019-11-28,50.560001,50.880001,49.689999,50.369999,47.100807,10145300
2019-11-29,50.369999,50.470001,49.820000,49.980000,46.736118,10290800
2019-12-02,50.150002,51.689999,50.110001,51.340000,48.007851,23952200
2019-12-03,51.250000,51.259998,50.250000,50.419998,47.147560,13479700
2019-12-04,50.830002,51.029999,50.529999,50.919998,47.615108,9105800
2019-12-05,50.700001,51.080002,50.549999,50.950001,47.643166,9503500
2019-12-06,51.250000,51.689999,51.029999,51.349998,48.017200,13892600
2019-12-09,52.250000,52.490002,51.330002,51.439999,48.101360,19388300
2019-12-10,51.220001,51.430000,50.900002,51.200001,47.876938,13878600
2019-12-11,51.380001,52.049999,51.220001,51.830002,48.466049,15572100
2019-12-12,52.099998,53.060001,51.730000,52.950001,49.513359,25140900
2019-12-13,53.299999,54.000000,52.840000,53.759998,50.270782,28172500
2019-12-16,54.500000,54.669998,53.340000,53.340000,49.878044,21806800
2019-12-17,53.250000,53.709999,53.049999,53.419998,49.952850,13570300
2019-12-18,53.279999,53.540001,52.599998,53.470001,49.999607,22924500
2019-12-19,53.500000,54.240002,53.220001,54.000000,50.495205,17683200
2019-12-20,54.770000,54.990002,54.150002,54.790001,51.233932,42124200
2019-12-23,54.900002,54.980000,54.400002,54.580002,51.037563,10225700
2019-12-26,54.810001,55.000000,54.509998,54.790001,51.233932,20410000
2019-12-27,53.990002,54.000000,53.419998,53.599998,51.449287,13920400
2019-12-30,53.650002,53.860001,53.200001,53.299999,51.161327,11928100
2020-01-02,53.980000,54.439999,53.750000,54.330002,52.150002,17509700
2020-01-03,53.680000,54.500000,53.580002,53.930000,51.766048,17284800
2020-01-06,53.799999,53.799999,53.150002,53.610001,51.458889,32787800
2020-01-07,53.500000,54.189999,53.400002,54.000000,51.833241,16326400
2020-01-08,54.200001,54.369999,53.619999,54.009998,51.842838,15298500
2020-01-09,53.750000,53.869999,53.049999,53.299999,51.161327,14638000
2020-01-10,53.750000,53.869999,53.110001,53.360001,51.218922,9129200
2020-01-13,53.639999,55.639999,53.509998,55.299999,53.081078,27497400
