,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
166,STRP4,0.21,-2.85,-0.43,0.41600000000000004,0.0,0.111,-0.18,-0.45,-0.09,-1.15,-1.15,-0.9181999999999999,-0.1458,0.13,-0.25489999999999996,0.1495,0.0,-12498000.0,-0.66,-0.3639
167,LIXC3,1.75,-2.62,1.52,395.995,0.0,0.069,0.28,-4.21,3.84,-6.37,-6.68,-94.1321,-143.868,1.34,-0.019,-0.5785,0.0,13842000.0,0.79,-0.759
168,FRIO3,86.0,-2.54,-4.75,0.24600000000000002,0.0,0.20800000000000002,-15.53,5.15,-0.71,17.09,9.54,0.0478,-0.0933,0.98,0.0716,1.8684,33689.6,-74376000.0,-16.89,0.1125
169,BICB4,8.25,-2.43,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,944626000.0,0.0,-0.3119
170,ECPR3,77.0,-2.41,1.04,0.0,0.0,0.547,94.02,-85.21,-1.17,-84.59,-84.79,0.0,0.0,2.94,-0.0064,-0.43420000000000003,0.0,140076000.0,0.0,0.0
171,BICB3,8.0,-2.35,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,944626000.0,0.0,-0.3119
172,ECPR4,74.96,-2.34,1.02,0.0,0.0,0.532,91.53,-82.95,-1.14,-82.34,-82.53,0.0,0.0,2.94,-0.0064,-0.43420000000000003,0.0,140076000.0,0.0,0.0
173,MNPR4,4.63,-2.3,-0.09,0.134,0.0,0.138,-0.08,0.64,-0.07,0.64,0.58,0.2095,-0.0583,0.21,0.2268,0.038900000000000004,0.0,-368449000.0,-0.0,0.04769999999999999
174,CVCB3,19.87,-2.28,-12.04,5.2,0.0,0.79,-3.32,-8.31,-2.24,-9.04,-18.15,-0.626,-2.3072999999999997,0.75,-0.15869999999999998,5.267799999999999,135732000.0,-332121000.0,-6.11,-0.0083
175,CALI4,50.0,-2.23,23.72,1.149,0.0,0.153,0.35,-1.54,-0.35,-2.72,-2.79,-0.7476,-0.5146000000000001,4.44,-0.1322,-10.6276,489.95,784000.0,43.77,-0.2145
176,MEAL3,3.57,-2.23,0.82,0.831,0.0,0.381,3.27,-6.14,-1.45,-6.38,-123.65,-0.1353,-0.3735,1.76,-0.08460000000000001,-0.3663,45946600.0,1254130000.0,0.46,-0.0085
177,ARLA4,3.38,-2.21,-0.62,2.137,0.0,0.442,-0.31,-6.74,-0.29,-17.87,-17.87,-0.3172,-0.9655,0.1,-0.1371,0.28,0.0,-24319000.0,-1.02,-0.4746
178,LIXC4,1.45,-2.17,1.26,328.11,0.0,0.057,0.23,-3.49,3.18,-5.65,-5.92,-94.1321,-143.868,1.34,-0.019,-0.5785,0.0,13842000.0,0.79,-0.759
179,OGXP3,1.63,-2.15,-0.98,0.0,0.0,0.925,0.0,-16.46,0.0,-16.46,-16.46,0.0,0.0,0.0,0.0,0.45530000000000004,0.0,-53901000.0,0.0,0.0
180,BRKM3,28.75,-2.1,-5.13,0.43700000000000006,0.0,0.266,2.31,6.44,-0.37,14.86,6.98,0.0679,-0.2138,1.48,0.057699999999999994,2.4400999999999997,447876.0,-4464670000.0,-10.2,0.028399999999999998
181,BRKM5,28.63,-2.1,-5.11,0.435,0.0,0.265,2.3,6.41,-0.37,14.84,6.96,0.0679,-0.2138,1.48,0.057699999999999994,2.4400999999999997,88608800.0,-4464670000.0,-10.2,0.028399999999999998
182,VTLM3,0.79,-2.07,-0.65,390.404,0.0,53.236999999999995,-0.72,-2.88,-0.64,-2.88,-2.94,-135.485,-188.606,0.0,5.2170000000000005,0.3147,0.0,-19776000.0,0.0,0.43479999999999996
183,CEDO3,11.96,-2.05,0.94,0.204,0.0,0.17800000000000002,-2.35,6.26,-0.45,17.0,8.72,0.0326,-0.10769999999999999,0.84,0.0347,-0.4611,186864.0,126789000.0,1.78,0.0622
184,ARCZ3,3.66,-1.88,1.95,1.0959999999999999,0.0,0.369,1.53,9.5,-0.84,28.18,28.18,0.11539999999999999,-0.5802,2.86,0.0403,-1.0398,0.0,1934210000.0,3.92,0.0075
185,ARCZ6,3.63,-1.86,1.94,1.087,0.0,0.366,1.52,9.42,-0.84,28.1,28.1,0.11539999999999999,-0.5802,2.86,0.0403,-1.0398,0.0,1934210000.0,3.92,0.0075
186,SUZB5,21.13,-1.86,21.55,0.975,0.0,0.273,4.71,4.62,-0.34,15.67,7.71,0.2113,-0.5239,1.49,0.0665,-11.591099999999999,0.0,1334700000.0,58.81,0.34369999999999995
187,BISA3,1.58,-1.77,1.18,1.692,0.0,0.321,0.86,-4.02,-7.64,-6.21,-9.28,-0.4205,-0.9636,2.22,-0.085,-0.6694,0.0,1788370000.0,0.77,-0.24230000000000002
188,CTNM3,12.35,-1.73,0.45,0.21,0.0,0.09,2.99,-9.31,-0.32,-41.13,33.35,-0.0226,-0.2087,1.09,-0.010700000000000001,-0.2615,41323.6,835297000.0,1.81,-0.1449
189,BCAL6,0.28,-1.7,-0.07,1.946,0.0,13.03,-0.09,38.77,-0.07,452.65,452.65,0.050199999999999995,-1.1449,0.01,0.3897,0.040999999999999995,0.0,-290863000.0,-0.74,0.3774
190,DJON4,0.18,-1.7,0.22,-0.956,0.0,0.166,-1.29,-1.42,-0.85,-1.98,-1.98,0.6737000000000001,0.5633,0.24,-0.1202,-0.1284,0.0,2702000.0,0.09,0.45189999999999997
191,SPRI6,11.0,-1.68,1.24,0.0,0.0,1.196,2.33,-3.21,2.47,-2.86,-2.88,0.0,0.0,66.47,-0.4286,-0.7382,0.0,22420000.0,0.0,-0.0733
192,GOLL4,25.76,-1.62,-0.62,1.107,0.0,0.715,-1.01,-32.59,-0.38,-65.96,11.26,-0.034,-0.6662,0.24,-0.0273,0.38299999999999995,205280000.0,-14759200000.0,-0.7,-0.0091
193,ARLA3,2.47,-1.62,-0.45,1.5619999999999998,0.0,0.32299999999999995,-0.22,-4.92,-0.21,-16.06,-16.06,-0.3172,-0.9655,0.1,-0.1371,0.28,0.0,-24319000.0,-1.02,-0.4746
194,SPRI3,10.51,-1.61,1.19,0.0,0.0,1.143,2.23,-3.07,2.36,-2.72,-2.74,0.0,0.0,66.47,-0.4286,-0.7382,0.0,22420000.0,0.0,-0.0733
195,EMBR3,9.63,-1.59,0.45,0.5579999999999999,0.0,0.11599999999999999,0.35,-76.71,-0.82,-220.22,15.37,-0.0073,-0.34759999999999996,2.29,-0.0021,-0.2833,138078000.0,15797800000.0,1.62,-0.1472
196,SDIA3,6.42,-1.59,9.41,0.397,0.0,0.418,-3.29,9.53,-0.83,23.15,23.15,0.0416,-0.2509,0.78,0.058899999999999994,-5.9066,0.0,459230000.0,17.27,0.13419999999999999
197,SDIA4,6.42,-1.59,9.41,0.397,0.0,0.418,-3.29,9.53,-0.83,23.15,23.15,0.0416,-0.2509,0.78,0.058899999999999994,-5.9066,0.0,459230000.0,17.27,0.13419999999999999
198,DUQE3,28.0,-1.58,-11.29,12.103,0.0,0.428,-0.74,-1.65,-0.57,-2.7,-2.98,-7.329199999999999,-7.676,0.33,-0.2821,7.1574,0.0,-6987000.0,-7.19,-0.42700000000000005
199,SUZB6,17.88,-1.57,18.24,0.825,0.0,0.231,3.99,3.91,-0.28,14.96,7.36,0.2113,-0.5239,1.49,0.0665,-11.591099999999999,0.0,1334700000.0,58.81,0.34369999999999995
200,JBDU4,1.32,-1.53,0.1,0.0,0.0,0.035,-0.2,-1.82,-0.05,-3.39,-3.39,0.0,0.0,0.0,-0.0192,-0.0678,118024.0,63719000.0,0.09,0.0
201,RSID3,13.34,-1.45,-0.31,4.282,0.0,0.125,-0.21,-3.22,-0.12,-21.88,-23.81,-1.3312,-3.0391000000000004,0.38,-0.044199999999999996,0.2162,2581940.0,-729329000.0,-1.89,-0.5004
202,BRKM6,18.77,-1.37,-3.35,0.285,0.0,0.174,1.51,4.2,-0.24,12.63,5.93,0.0679,-0.2138,1.48,0.057699999999999994,2.4400999999999997,4429.26,-4464670000.0,-10.2,0.028399999999999998
203,MGEL3,25.0,-1.35,-0.3,0.278,0.0,0.348,1.09,2.94,-0.23,16.14,11.64,0.0944,-0.1954,2.01,0.21280000000000002,0.2228,0.0,-481885000.0,-1.59,0.059699999999999996
204,SPRI5,8.52,-1.3,0.96,0.0,0.0,0.927,1.81,-2.49,1.91,-2.14,-2.15,0.0,0.0,66.47,-0.4286,-0.7382,0.0,22420000.0,0.0,-0.0733
205,IDVL4,2.67,-1.26,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9176000000000001,38286.1,237683000.0,0.0,0.0
206,BBRK3,2.23,-1.23,1.1,1.564,0.0,0.596,81.72,-5.98,-2.99,-4.53,-7.67,-0.2613,-1.1861,1.03,-0.1185,-0.8933,1568540.0,158829000.0,0.0,0.042199999999999994
207,PMET6,0.2,-1.21,-0.05,1.39,0.0,9.307,-0.07,27.69,-0.05,441.57,441.57,0.050199999999999995,-1.1449,0.01,0.3897,0.040999999999999995,0.0,-290863000.0,-0.74,0.3774
208,AZUL4,44.59,-1.18,-1.1,2.102,0.0,1.0959999999999999,-2.11,-4.33,-0.63,-9.07,78.44,-0.4857,-1.7834,0.33,-0.3732,0.9339,333891000.0,-13866400000.0,-1.32,-0.0951
209,JFEN3,4.33,-1.12,1.36,4.612,0.0,0.26,0.94,-3.09,-5.65,-7.18,-7.25,-1.4916,-4.331,1.52,-0.08779999999999999,-1.209,10512.5,336159000.0,1.84,-0.41759999999999997
210,OIBR4,2.71,-1.11,2.7,0.853,0.0,0.222,2.67,-9.94,-0.33,-23.05,7.12,-0.0858,-0.7724,1.5,-0.026000000000000002,-2.439,24643900.0,5982220000.0,4.5,-0.0797
211,GPIV33,3.91,-1.07,0.32,-0.612,0.0,0.146,0.57,-0.46,2.11,0.38,0.38,1.3331,1.4450999999999998,5.44,-0.4612,-0.3044,1311520.0,1321240000.0,0.09,-0.2147
212,LGLO4,100.0,-1.05,0.65,0.225,0.0,0.192,-0.32,-1.24,-0.32,-2.13,-2.13,-0.18100000000000002,-0.2147,0.14,-0.1837,-0.6251,0.0,5191000.0,0.49,-0.1142
213,TECN3,1.39,-1.04,0.35,0.47200000000000003,0.0,0.171,0.5,-23.46,4.04,-41.91,-23.07,-0.020099999999999996,-0.4523,2.67,-0.0087,-0.33380000000000004,1356220.0,313466000.0,0.55,-0.0984
214,IDVL3,2.16,-1.02,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9176000000000001,127099.0,237683000.0,0.0,0.0
